true_value,predicted_value
25.7872,45.30954452691745
24.7825,11.028723054177265
27.4282,7.2039401267228875
22.3377,26.239005344245797
17.4482,0.0
19.0222,6.452422552868882
20.9646,34.59206233351618
17.2808,0.0
17.0463,28.16719661572688
18.9553,57.302779901632626
25.6867,18.477285595901392
23.108,1.377842992269013
22.1368,16.520273492999653
18.6538,16.22422343308214
15.7067,31.86458087220317
11.3531,36.45676249972819
5.82723,22.036936282315914
2.57872,32.52086207701803
2.24382,0.0
1.70798,0.0
1.74147,0.0
1.87543,21.728314966180886
1.40657,16.327293523648564
4.65509,0.0
9.47763,27.753032174897882
17.5487,46.257948453524534
24.749,12.224690268882433
20.6967,23.937318508503402
20.8642,26.15294467621649
13.262,0.0
12.8601,21.02526410467552
11.554,34.88109145340422
13.5299,0.0
10.1139,9.106763031603442
9.47763,14.126598939579976
9.5781,20.11342094138611
9.00877,18.637680628514453
7.76964,0.0
5.19093,2.8829314883403887
6.39656,43.37948843678767
3.04758,0.0
1.80845,0.0
1.23912,3.5675961282335145
0.971205,6.681118202192127
0.502348,17.95944852724692
1.47355,0.0
4.6216,2.035318426520619
5.79374,0.0
5.82723,63.29362628479382
9.77903,0.0
12.8266,40.11472155562167
10.5493,0.0
12.4582,20.48832905209595
11.2191,20.415486071199084
7.93709,0.0
4.65509,3.2591482812293493
1.27261,0.0
0.602817,0.0
51.733,64.77701886252174
58.371,46.14780997058864
69.507,84.45878001127451
70.92,62.082824074512516
71.125,96.0
71.0,43.08790628632957
79.429,71.21342067223722
81.262,72.2101450798673
84.35,96.0
85.147,78.64805828829306
86.812,86.13213879408742
87.37,68.53706186393711
88.848,84.80371550098246
90.335,96.0
87.939,96.0
84.285,93.34330744696173
85.147,94.37877495460543
80.78,83.34816331588263
74.32,50.56525971485868
75.08,63.34509039342682
80.087,77.39381820765279
83.94,74.19087891524721
84.53,96.0
84.67,70.94036677023819
78.52,96.0
78.616,64.63038211080057
77.711,63.526272113917955
78.764,76.74014105593918
77.798,96.0
86.169,93.69204738210506
87.337,77.82962722196913
86.574,80.8649879152424
81.902,94.81130215651874
88.767,96.0
87.732,69.21427829557848
82.785,62.376855492383356
83.254,87.11031374040931
80.628,62.41151632907729
81.23,96.0
80.663,71.72071370620606
79.474,96.0
73.944,67.31416872895757
76.647,64.00626076925107
77.454,86.5676770227316
74.37,83.51503481043721
74.978,40.97029693039988
78.658,96.0
77.155,84.50736467770002
71.572,83.68995916483149
68.404,82.24332180046196
65.265,72.35657354835243
64.485,56.12028883416329
59.47,65.10729888402903
69.061,78.2246613687628
67.686,84.43731427045357
69.653,86.83781577514321
72.958,74.50706987029321
74.65,96.0
71.039,61.58767156306294
74.558,66.31937623083229
79.657,96.0
80.388,92.99008435218758
76.827,70.53251659146898
74.596,41.45901614134044
75.454,59.50485953466346
65.182,77.29893237203966
73.439,87.68266332786214
61.529,53.825342544392335
64.058,52.07315026357186
66.654,63.695839810913824
54.152,69.41847814668778
61.321,77.39010559126847
56.934,12.121562399738792
54.496,78.86616813288057
58.464,66.51728702384527
60.612,96.0
53.117,40.877229521701445
34.876,22.03125062318434
26.628,46.26530073555301
37.388,14.131729138269314
35.857,40.93763421508466
40.74,53.108431636767335
57.424,72.45023639981764
54.186,57.372003267811834
56.555,58.63398150121463
63.387,54.00195930449479
70.384,67.60951569661478
75.513,76.97906582691864
0.0,0.0
77.214,80.39572419568368
78.497,69.64581962909958
76.178,96.0
80.726,93.81595186958708
79.794,86.99925132696086
80.336,56.52808422472462
87.792,91.53334249541824
85.094,90.32933249224195
85.239,84.8427372084419
90.78,96.0
92.801,80.89740185152822
91.571,88.20503818152372
91.055,74.6622068081507
88.075,94.05110183418581
85.406,49.85234640535238
82.427,93.42772496128167
82.566,96.0
83.667,96.0
69.218,54.516553868559505
65.399,41.76337761503841
65.609,58.02906698502926
62.754,53.702118925265
54.109,41.87362119448035
50.781,49.24170233182878
38.33,23.53432171292756
27.402,30.551324517970393
19.537,29.85672702781826
19.868,24.771916719512387
27.021,11.918118920803812
21.969,67.03550714082107
20.821,6.170142923711147
31.908,27.679998870803765
29.794,29.360161489198955
29.76,39.3155963957715
25.05,16.757785805553297
21.376,18.699867654233174
16.805,16.115522813395657
15.052,7.506752520634363
14.998,0.0
18.068,20.559026631113873
20.947,30.62665400687163
20.243,42.20726431840278
21.774,16.293726204368113
17.372,9.987995736066598
15.426,41.56782465418526
12.721,0.0
8.421,36.80660941912625
10.889,15.305012007720146
12.792,11.765448401853982
12.25,0.0
12.636,9.191200962402824
15.131,3.031323071750961
19.263,39.30128992425803
23.647,34.20810925641776
24.97,44.98922144774993
24.92,29.80104995843937
25.428,10.204268956244787
27.671,0.0
33.101,3.9902366096883135
38.383,50.00769103450066
46.113,65.21974315627453
47.49,59.593956407157926
51.513,70.74042049019886
54.872,56.144873731706184
58.324,75.12482888633525
56.455,54.24603021581042
63.566,47.88360638483172
67.745,55.719227042582006
65.834,91.99737620095924
69.099,62.46885760561367
67.446,72.55670811567931
62.768,66.11290523072489
66.864,38.732364574078645
59.348,43.11225689157616
58.113,77.6972764753321
53.974,83.56389796922308
38.998,45.18540420842952
49.953,60.73886074874463
38.815,19.761765661486837
58.874,58.31556649379931
51.922,43.25217899532721
47.593,38.058113035573015
58.795,11.73788539041373
56.308,57.47640301079236
44.046,41.5036309713437
30.478,38.1936102279703
32.323,12.347263967475062
32.002,41.52820316869679
24.208,23.558059714971893
19.292,7.214516635620885
14.921,19.63355300827323
13.949,11.464922284747345
8.37,10.947748268967251
8.308,30.065168354049263
5.455,15.003463096246692
4.547,2.127590284522311
4.918,2.5268395260564036
6.007,0.0
8.708,27.41272068569689
8.286,33.030185977159285
9.576,0.0
7.666,3.92802058439101
4.442,0.0
5.053,0.0
3.206,0.0
2.335,15.370287129580777
2.271,0.0
4.003,1.8986708447119867
3.082,13.378918151406676
1.723,40.88862966632807
2.376,0.0
1.713,0.0
0.494,29.82909215803793
0.333,0.0
0.338,0.0
0.166,0.0
0.254,27.53426560370239
0.312,27.772156415860334
0.235,0.0
0.412,20.74341344755691
0.134,0.0
0.075,0.0
0.085,25.508363626178014
0.121,0.0
0.112,15.32832291874277
0.116,0.0
0.103,0.0
0.114,0.0
0.136,33.25021414644494
0.092,0.0
0.19,0.0
0.168,0.0
0.192,45.17348178517643
0.09,0.0
0.105,0.959576368255836
0.076,17.14541728160598
0.102,0.0
0.473,8.267969599591845
1.579,2.492624891760009
3.57,5.458419620801827
3.743,10.614956950408919
2.838,27.240037530437743
3.326,1.0993494838551703
2.424,0.0
2.497,0.0
1.843,0.0
1.02,0.0
0.201,21.831702051224
0.348,0.0
0.487,10.785940838502883
0.821,17.431724766394016
0.379,12.113654900563624
0.278,0.6556945422985107
0.769,11.527323719023737
1.314,0.0
2.534,23.508821196242675
3.878,40.957674968222584
3.108,4.1185727638309295
3.071,0.0
3.056,28.655681894433833
3.015,11.43688283339161
2.31,0.0
2.128,0.0
1.905,7.570910231667729
0.965,7.490891191094461
0.863,27.670691672722562
0.241,0.0
0.097,6.559050174464851
0.072,0.0
0.063,0.0
0.083,47.74812080134121
0.081,0.0
0.068,0.0
