true_value,predicted_value
25.7872,0.0
24.7825,43.520310022603255
27.4282,31.717227815763174
22.3377,30.361131696066998
17.4482,0.0
19.0222,52.46193615484937
20.9646,78.57458170070821
17.2808,1.7563431205147175
17.0463,90.9661884077499
18.9553,35.67595599190231
25.6867,87.82521714848988
23.108,0.0
22.1368,46.14011655661978
18.6538,72.24938907769967
15.7067,32.37369033582004
11.3531,11.051495820255472
5.82723,8.221238727532299
2.57872,32.9858072370631
2.24382,0.0
1.70798,0.0
1.74147,0.0
1.87543,37.85409459990449
1.40657,21.40777124320546
4.65509,37.071322248109524
9.47763,0.0
17.5487,37.891392661828675
24.749,4.25076684823863
20.6967,0.0
20.8642,0.0
13.262,0.0
12.8601,0.0
11.554,0.0
13.5299,0.0
10.1139,7.312878184318172
9.47763,14.276505769039346
9.5781,2.3001660867936797
9.00877,0.0
7.76964,28.566968078317842
5.19093,41.541184962919445
6.39656,0.0
3.04758,0.0
1.80845,0.0
1.23912,0.0
0.971205,16.373542455695244
0.502348,4.140675577236085
1.47355,13.823673888315467
4.6216,0.0
5.79374,67.2406485924682
5.82723,5.412437681717542
9.77903,27.691546067072977
12.8266,43.44492141190236
10.5493,0.0
12.4582,61.026173226776955
11.2191,11.653264691995432
7.93709,55.562510646932736
4.65509,56.22271317432094
1.27261,0.0
0.602817,0.0
51.733,96.0
58.371,0.0
69.507,85.90044652943001
70.92,43.203972324135755
71.125,70.13923244244087
71.0,82.20926107441329
79.429,72.04050431410958
81.262,61.90085858995724
84.35,70.47455269546761
85.147,92.16117865543049
86.812,84.34190675827001
87.37,96.0
88.848,96.0
90.335,96.0
87.939,55.41206225144949
84.285,92.85685431001312
85.147,96.0
80.78,78.97879249026587
74.32,45.0115147746364
75.08,85.63589415825152
80.087,96.0
83.94,96.0
84.53,70.47852974144088
84.67,96.0
78.52,50.347288784952326
78.616,46.229451072552
77.711,57.115361012116836
78.764,84.06166758760384
77.798,41.53526996819099
86.169,60.39295177248795
87.337,48.80975714744165
86.574,89.76926914264996
81.902,75.80475804329085
88.767,96.0
87.732,23.63418954262326
82.785,43.941141202742976
83.254,82.27437912096077
80.628,63.07391638438326
81.23,55.67998939593977
80.663,57.673366488138115
79.474,57.32339647721449
73.944,83.8251452359161
76.647,96.0
77.454,59.27394667344151
74.37,63.05891969432598
74.978,94.17081237258398
78.658,96.0
77.155,96.0
71.572,96.0
68.404,0.0
65.265,70.88563657699338
64.485,54.30016691876169
59.47,96.0
69.061,96.0
67.686,82.9096631213603
69.653,96.0
72.958,60.63323377252226
74.65,82.9322130764708
71.039,84.50250182677463
74.558,54.91401920731926
79.657,56.029446598131955
80.388,46.94534466798457
76.827,53.673348091912175
74.596,82.83935368594958
75.454,65.1125001298375
65.182,96.0
73.439,96.0
61.529,85.52156923961732
64.058,96.0
66.654,96.0
54.152,17.054214939693964
61.321,63.92112727070871
56.934,49.61864386764444
54.496,0.0
58.464,96.0
60.612,93.17015453669495
53.117,67.0592284178324
34.876,48.95179306175853
26.628,49.93714835532529
37.388,16.521108827022253
35.857,26.990538566624075
40.74,19.07708746411389
57.424,96.0
54.186,49.78521252479846
56.555,35.48707311521002
63.387,0.0
70.384,46.81319512460635
75.513,21.77262570069152
0.0,0.0
77.214,41.29040060155327
78.497,58.178979667146606
76.178,89.30941392212574
80.726,37.41703440913655
79.794,45.40346429555012
80.336,58.10431433595688
87.792,80.56686745385771
85.094,86.62670931420222
85.239,86.71957177061378
90.78,72.24389777680545
92.801,96.0
91.571,91.32426529879834
91.055,67.6092643889536
88.075,54.35467853391125
85.406,76.0125579035494
82.427,96.0
82.566,88.53456281978644
83.667,96.0
69.218,56.87510340130979
65.399,33.766123266576884
65.609,71.27477202989303
62.754,85.60567451895555
54.109,64.33968029861332
50.781,13.28822708688407
38.33,21.920230602370438
27.402,12.87189307913949
19.537,0.0
19.868,0.0
27.021,17.209341279331884
21.969,41.78784654960382
20.821,0.0
31.908,18.846183549682642
29.794,0.0
29.76,49.43713388562422
25.05,29.282697567522725
21.376,78.8350306214171
16.805,19.06938832665994
15.052,14.027956476055914
14.998,0.0
18.068,15.891227510840062
20.947,0.0
20.243,58.98033258940676
21.774,0.0
17.372,0.0
15.426,0.0
12.721,16.141891828377055
8.421,0.0
10.889,0.0
12.792,59.439932058261604
12.25,87.81831093738721
12.636,16.210723401189597
15.131,0.0
19.263,10.724463953349842
23.647,14.157540236357788
24.97,41.77505016791031
24.92,0.0
25.428,0.8233863856090089
27.671,48.47562177191949
33.101,14.468724538047766
38.383,0.0
46.113,32.63265081901912
47.49,87.04425187291343
51.513,79.16780588884964
54.872,50.44257164730414
58.324,73.93811907564262
56.455,29.47669253169822
63.566,28.717387046456878
67.745,55.136749912802856
65.834,75.57734592407073
69.099,30.887487701614077
67.446,63.21976765112959
62.768,83.83406982750137
66.864,68.19143831074179
59.348,61.4176236672903
58.113,62.86825993926324
53.974,96.0
38.998,0.0
49.953,59.69022144197891
38.815,39.96656574389556
58.874,33.08683591712426
51.922,75.04474146203921
47.593,0.0
58.795,66.71212275138569
56.308,47.29755449849659
44.046,19.31525770123889
30.478,0.0
32.323,0.0
32.002,29.85794311182081
24.208,59.35877521588864
19.292,0.0
14.921,44.90856486275221
13.949,12.824801362958016
8.37,0.0
8.308,38.415014951478994
5.455,4.9828585225022435
4.547,0.0
4.918,0.0
6.007,20.03086572561773
8.708,23.010060553483296
8.286,61.38832084940711
9.576,0.0
7.666,77.38296303936126
4.442,3.3656471667044148
5.053,0.0
3.206,22.778441219037358
2.335,0.0
2.271,0.0
4.003,49.25525767879321
3.082,54.314623548050086
1.723,0.0
2.376,0.0
1.713,0.0
0.494,0.0
0.333,36.76807132814542
0.338,0.0
0.166,0.0
0.254,0.0
0.312,14.351305846312354
0.235,7.491474104450102
0.412,13.825977507101209
0.134,0.0
0.075,0.0
0.085,0.0
0.121,0.0
0.112,0.0
0.116,0.0
0.103,0.0
0.114,45.10664128466627
0.136,1.627237711872815
0.092,0.0
0.19,37.871646199814016
0.168,0.8183539875932699
0.192,31.132408185474727
0.09,0.0
0.105,0.0
0.076,0.0
0.102,45.098058298871806
0.473,0.0
1.579,9.635058660497476
3.57,43.968277335883414
3.743,7.239537519728122
2.838,32.632299392335156
3.326,0.0
2.424,0.0
2.497,0.0
1.843,0.0
1.02,20.511072497028795
0.201,49.5769584111024
0.348,0.0
0.487,24.32103304697594
0.821,30.478724672380444
0.379,33.328714188325606
0.278,21.528440167495887
0.769,15.736316479452645
1.314,37.0885857690962
2.534,16.963358712309937
3.878,54.067068546086226
3.108,0.0
3.071,30.12520237720472
3.056,2.9005860061238993
3.015,10.745385165723922
2.31,39.991663774265966
2.128,0.0
1.905,14.302727031852154
0.965,0.0
